Judet,Indicativ,Regiunea,Macroregiunea,SporulNatural,SalNet,RataSom,RataAbScolar,RataInfract,EmigrantiDefinitiv,EmigrantiTemporar,AjutorSocial,NrPaturi,NrMedici,PIB,SupUtila,Export,Inoptari,ExecBVenituri,ExecBSubventii,Canalizare,PAVeg,PAAnim,ServAgr
 Alba,ab,c,1,-3.6,2664,3.4,1.6,1823,115.1836008,1208.503876,38.24794656,642.7491307,207.268886,44774.08307,28.23538108,7533.115285,114.1826738,2904.536201,550.3558681,60.48370953,3605.024962,2332.942202,70.17884256
 Arad,ar,v,4,-3.9,2611,1.4,2.1,1600,133.9141078,1191.787561,15.77753939,558.2154385,260.3885429,45249.28903,28.26115651,8050.258589,95.88034126,2696.521353,382.0631892,38.96324562,5443.020507,1569.598138,68.61298103
 Arges,ag,s,3,-3.8,2908,3.2,0.9,1491,75.49875063,1183.390968,37.73686261,589.963861,253.8558909,41523.44704,41.06456702,10781.96273,70.86267712,2722.803566,688.6663561,51.41811243,2429.184423,1272.56088,7.650309181
 Bacau,bc,ne,2,-4,2603,6,2,1467,200.9857218,1205.742841,59.58825365,568.4877711,193.0972037,27585.80478,19.23323604,1318.601812,74.15155558,2273.093637,292.732617,46.12759507,1986.632392,1313.210181,2.929041065
 Bihor,bh,nv,1,-2.4,2385,1.5,1.9,1385,69.9002673,1171.186111,31.99870364,729.1382474,402.461488,35444.07176,40.14165503,3690.832188,276.0195721,2986.631574,478.6028506,47.95746783,3218.156594,1429.89021,18.44511135
 Bistrita-Nasaud,bn,nv,1,-0.1,2405,3.1,1,1847,132.5492929,1190.788363,23.70716664,528.0418985,172.4218444,32186.48859,31.59845826,2389.47221,79.06439597,3869.433558,792.0628478,46.38147615,2179.904234,2151.677341,0.341251567
 Botosani,bt,ne,2,-4.2,2501,3.1,1.2,1695,125.3742713,1234.169514,32.30258313,579.5253764,172.191246,22748.55317,21.64346096,826.3883746,22.94216913,2315.720981,516.3092354,31.15920945,4833.609298,2153.125893,21.57548378
 Braila,br,se,2,-7.9,2428,4,1.6,624,139.3338383,1241.495771,42.23947004,669.219383,186.5892049,33465.83368,18.011244,726.7805892,83.57632784,2441.990563,586.5224915,73.1596467,7232.426911,1623.148875,723.2399113
 Brasov,bv,c,1,-0.5,2916,2.2,3.3,1887,186.3116977,1109.91124,29.83589738,690.9812476,325.4123729,52393.74354,51.66549996,6354.495086,507.1583487,2521.177128,240.0345852,84.71466273,1076.44387,1413.763912,50.47961696
 Buzau,bz,se,2,-7.2,2450,7.3,2.5,1786,87.72953059,1271.713666,78.28926443,624.556492,155.2885597,28869.82007,14.57865524,1717.0832,49.959659,2609.285235,674.8612367,47.79728403,5222.536526,2170.987528,44.80038494
 Calarasi,cl,se,2,-5.7,2539,4.2,3.7,1623,106.271055,1291.901791,41.47625019,428.9808252,111.2303709,27027.56317,14.21410784,1038.877494,23.72890962,2520.395187,582.3653811,28.37437167,7786.292451,2200.519311,215.1457508
 Caras-Severin,cs,v,4,-6.4,2462,3.3,2.4,1616,234.0257983,1300.26656,24.49110295,659.1911506,212.2129672,35252.49276,8.413098051,1332.697434,292.0464502,2644.528492,549.757286,54.45850571,2576.198874,1746.594056,6.821131088
 Cluj,cj,nv,1,-1.2,3449,1.3,0.8,1463,117.7513724,1102.542526,12.39196947,993.2624754,557.2717826,60786.3928,103.139613,2544.838706,177.0352351,3044.875415,337.8645492,72.83769512,1623.40598,817.2044073,7.062258567
 Constanta,ct,se,2,-2.6,2651,2.7,1.7,2846,143.2585981,1197.784544,18.65634135,666.6577502,333.0316581,54129.1616,53.20110149,2863.825569,772.2485507,2854.769367,416.8468545,68.30626429,3533.706638,799.6356119,19.67725205
 Covasna,cv,c,1,-2,2379,3.6,3.8,1107,59.43742477,1225.896886,36.85242183,896.5144903,218.432536,31774.75197,15.3977602,1441.699316,299.5799755,2331.928299,444.7900621,56.95244511,4064.994824,1689.910002,12.11532842
 Dambovita,db,s,3,-4.3,2513,4.2,1.1,1229,98.5259939,1224.216136,41.04766246,481.7961984,119.5803038,30657.52814,38.42391115,1343.88638,59.17896368,2523.451026,645.9380513,27.56520193,4253.385553,1046.260203,2.201504054
 Dolj,dj,sv,4,-5.5,2766,7.4,2.5,1163,83.2464512,1243.724437,69.64698532,765.7390328,528.5107066,33345.73743,24.35239394,4107.373486,33.47373486,2378.378378,413.8262892,47.20779533,4440.906247,922.6032561,51.40909455
 Galati,gl,se,2,-4.3,2602,6.3,1.5,1880,227.3121189,1213.061781,58.52267842,593.0834162,211.7728154,29231.42207,20.40031636,2226.043076,38.84925481,2510.593621,432.1121699,65.76073856,4495.64003,846.0214403,28.24965684
 Giurgiu,gr,s,3,-7.8,2672,2.3,1.5,1878,62.68976873,1267.390746,33.72323222,304.7629118,121.9806946,29102.78101,22.41876766,277.1416487,17.58976722,2946.041481,1082.720283,26.97435007,5560.945029,1287.557214,32.52692639
 Gorj,gj,sv,4,-4.3,2657,4.4,0.8,1554,65.00893873,1246.960673,35.03776573,737.0866435,257.1677135,43618.44852,10.83960319,217.7130238,65.28682008,2699.782985,614.7168765,32.78999882,2923.142864,1318.945326,0.519434167
 Harghita,hr,c,1,-1.9,2349,4.2,1.9,1192,34.77016918,1228.214833,38.37336539,634.8039459,196.0375253,31680.92244,12.85237911,988.4662382,175.833739,2554.448429,467.5759894,53.7520324,1992.284334,1477.70901,0.73514072
 Hunedoara,hd,v,4,-6.2,2426,3.4,1.1,2130,149.5069674,1196.84124,20.39127623,845.1987579,309.7491111,35509.08301,9.816140468,2163.635507,100.412126,2862.364567,579.9613534,81.7080451,1892.711077,1255.696189,2.042301831
 Ialomita,il,s,3,-5.5,2434,5.6,1.8,1871,77.58012695,1298.879398,44.99746885,336.5723689,132.826581,30092.86106,16.56061437,659.8111433,72.12444166,2150.693519,450.5916464,35.57754095,8121.659745,1807.021393,158.6474414
 Iasi,is,ne,2,0.4,3125,3,1.4,2186,242.8347966,1098.87476,32.20869538,949.7678878,525.4061964,35971.21304,42.22789888,1235.091836,72.98011908,2249.470179,429.1553134,41.72633465,2183.777374,730.7271168,38.35149864
 Ilfov,if,b,3,1.3,3163,0.6,1.6,,65.63016272,938.7787852,8.529252742,306.7541461,180.0200388,49835.92459,130.4013727,5792.374145,56.42959571,3126.17656,244.8272528,48.9269777,1129.653518,217.3592809,107.0615175
 Maramures,mm,nv,1,-2.2,2437,3.2,1.5,1259,97.45952602,1210.194963,31.70992738,617.6062374,201.4453596,31579.06187,25.70494999,3046.104012,112.8389873,2577.456393,431.1713852,41.19927427,1903.069105,1444.080422,0.084841998
