,SporulNatural,SalNet,RataSom,RataAbScolar,RataInfract,EmigrantiDefinitiv,EmigrantiTemporar,AjutorSocial,NrPaturi,NrMedici,PIB,SupUtila,Export,Inoptari,ExecBVenituri,ExecBSubventii,Canalizare,PAVeg,PAAnim,ServAgr
SporulNatural,6.519425087108013,383.59808362369347,-2.7274041811846685,-0.22477351916376312,270.7930993456276,21.710908567792682,-163.22358997669,-26.136043819243024,144.25899683407664,164.47778772372823,15754.519835733445,40.37653428323607,2505.8243382189553,122.52816409314688,279.7178818209059,-274.1935179898084,14.08510677595993,-3196.887446280937,-367.99499741143353,-73.85262005757491
SalNet,383.59808362369347,119283.76596980258,-335.60516840882696,-65.5289198606272,49886.547293277814,6134.750336718415,-18815.563918792224,-3654.0668305914364,34070.13055803635,41045.29943136609,4557000.953328787,5025.768657189487,533177.0156673371,4590.51964794436,83108.63349000462,-33078.573741022934,3137.8340545840947,-298220.7391488759,-110231.44310847198,4124.979389063319
RataSom,-2.7274041811846685,-335.60516840882696,3.9856039488966317,0.22595818815331012,-56.359309934562766,-1.9705235230365852,97.98366020298495,37.03627784474152,-90.2079131347851,-124.6247195678978,-17253.204273014522,-28.6205636627932,-2716.302061082671,-109.964496460345,-215.26139726771194,191.5773101710046,-13.641410094381532,1576.681500271274,253.83019122706415,-8.958384882864344
RataAbScolar,-0.22477351916376312,-65.5289198606272,0.22595818815331012,0.49714285714285683,-49.89547888161808,-2.4110781485365864,12.87649781700349,3.957375076669685,-10.901391893135882,-18.208993230766556,-2239.409622811846,-4.0387847259320555,-202.37417073703827,20.937836772361326,-103.7118653616725,-17.43116746808363,0.28577119264808304,357.87068374082236,95.438403625246,5.8237571796703875
RataInfract,270.7930993456276,49886.547293277814,-56.359309934562766,-49.89547888161808,185955.4515169542,11688.94383265087,-8632.845466578228,-1527.6162005829344,14475.047330607315,17838.631500938787,2580115.570970934,734.3828239634291,61957.73445582956,22073.228864583125,95766.69360994882,-7057.90515596419,1776.0237093798874,-205996.38663412514,-47205.63756488332,-9644.157554811005
EmigrantiDefinitiv,21.710908567792682,6134.750336718415,-1.9705235230365852,-2.4110781485365864,11688.94383265087,3235.2573724990293,-870.9528689601046,-80.76211416032567,2899.074556336596,2715.4770940491335,210102.40667829278,38.0584346795675,18313.58245337449,695.1950953675291,4315.258145044596,-3347.8741444257967,345.9166456803721,-21824.00347286073,-4084.9745322894355,693.405522123801
EmigrantiTemporar,-163.22358997669,-18815.563918792224,97.98366020298495,12.87649781700349,-8632.845466578228,-870.9528689601046,5989.643578757678,943.0642646522787,-5233.179498016339,-6477.362699313261,-743769.4589316691,-1558.4442248567925,-111325.30053439732,-2469.0233545499386,-12077.793164632556,9655.332001509933,-686.5951781339038,101222.42687756267,22432.161160186253,65.67577287792581
AjutorSocial,-26.136043819243024,-3654.0668305914364,37.03627784474152,3.957375076669685,-1527.6162005829344,-80.76211416032567,943.0642646522787,400.5081327067768,-1122.4188292289707,-1296.5525875715764,-196508.26915620654,-256.015876934005,-24762.835215994182,-1198.6417932816605,-3074.357478496354,1907.5678184501023,-151.7829911958665,16865.528941885837,3128.125253706648,-135.67258938527826
NrPaturi,144.25899683407664,34070.13055803635,-90.2079131347851,-10.901391893135882,14475.047330607315,2899.074556336596,-5233.179498016339,-1122.4188292289707,32294.068294603498,22351.981206015822,1703785.556941087,354.56355249899724,105352.44281456481,8073.994463292736,24770.737133377726,-15714.489845338894,1994.8674106968922,-170406.26513354294,-33957.13778314012,407.37513592468986
NrMedici,164.47778772372823,41045.29943136609,-124.6247195678978,-18.208993230766556,17838.631500938787,2715.4770940491335,-6477.362699313261,-1296.5525875715764,22351.981206015822,23599.022312419464,1695220.948042957,1418.5166770577441,191743.21505292293,5634.660777352085,26186.124969352742,-16119.01747937461,1557.84311225639,-124029.87042957556,-38569.19994813884,363.48220539650555
PIB,15754.519835733445,4557000.953328787,-17253.204273014522,-2239.409622811846,2580115.570970934,210102.40667829278,-743769.4589316691,-196508.26915620654,1703785.556941087,1695220.948042957,234497678.9860688,166814.47474737893,23411235.461129867,781796.8843121652,4863621.979033625,-1544563.5225400913,181064.0661367766,-14134989.012247333,-4353027.734084894,302878.750182728
SupUtila,40.37653428323607,5025.768657189487,-28.6205636627932,-4.0387847259320555,734.3828239634291,38.0584346795675,-1558.4442248567925,-256.015876934005,354.56355249899724,1418.5166770577441,166814.47474737893,610.8427021679533,31447.496090729677,657.050913358712,1777.2278764789357,-2380.74206049978,126.89152449674005,-19763.10924047031,-5755.277129809229,-112.24321009839363
Export,2505.8243382189553,533177.0156673371,-2716.302061082671,-202.37417073703827,61957.73445582956,18313.58245337449,-111325.30053439732,-24762.835215994182,105352.44281456481,191743.21505292293,23411235.461129867,31447.496090729677,7590135.618396966,52450.94184621048,314678.5999974956,-214077.6857002328,21130.751869209238,-1471463.0826630925,-247452.97015366232,-4762.323951534117
Inoptari,122.52816409314688,4590.51964794436,-109.964496460345,20.937836772361326,22073.228864583125,695.1950953675291,-2469.0233545499386,-1198.6417932816605,8073.994463292736,5634.660777352085,781796.8843121652,657.050913358712,52450.94184621048,22402.09387540641,5912.81879743013,-9663.93635124098,1181.8673936936857,-96067.40147817302,-11513.187109592887,-1745.3469175663056
ExecBVenituri,279.7178818209059,83108.63349000462,-215.26139726771194,-103.7118653616725,95766.69360994882,4315.258145044596,-12077.793164632556,-3074.357478496354,24770.737133377726,26186.124969352742,4863621.979033625,1777.2278764789357,314678.5999974956,5912.81879743013,259524.37989177398,25434.16121203368,3006.673409704445,-289963.5640285329,-67860.39997868579,3689.7446949832374
