,SporulNatural,SalNet,RataSom,RataAbScolar,RataInfract,EmigrantiDefinitiv,EmigrantiTemporar,AjutorSocial,NrPaturi,NrMedici,PIB,SupUtila,Export,Inoptari,ExecBVenituri,ExecBSubventii,Canalizare,PAVeg,PAAnim,ServAgr
SporulNatural,1.0,0.43499183807635716,-0.5350542056205454,-0.12485326200629551,0.24593961334441727,0.14949233690098618,-0.8259956990654878,-0.5114810290812427,0.31439590335775175,0.41932967821839173,0.4029315248986733,0.6398227735192781,0.35622238374388104,0.3206173130885035,0.21504358926522676,-0.4873424184187819,0.32216180121243304,-0.6440254871544804,-0.288696386995594,-0.2446357232760744
SalNet,0.43499183807635716,1.0,-0.4867331202021672,-0.26909258853449103,0.3349564295453263,0.31228548904243164,-0.7039244952106807,-0.5286644964215559,0.5489360426654248,0.7736165495771495,0.8616267512123392,0.5887719721910896,0.5603456186900697,0.0888028436820885,0.47235268623116494,-0.43464809923743747,0.5305885232374284,-0.44414781460857766,-0.6393209051617831,0.10101589825593577
RataSom,-0.5350542056205454,-0.4867331202021672,0.9999999999999999,0.1605241620265604,-0.06546574874029965,-0.017353222512764648,0.6341705912756787,0.9269890276208823,-0.2514410525839124,-0.4063592203238393,-0.5643563549244025,-0.580051317509747,-0.4938626984101989,-0.36801126534075823,-0.21165571704239555,0.43549049556067937,-0.39905315211166636,0.4062349267965633,0.25468319550163354,-0.037952576574479875
RataAbScolar,-0.12485326200629551,-0.26909258853449103,0.1605241620265604,1.0,-0.1641028546396401,-0.06011962560286612,0.2359699315890393,0.28045355062331423,-0.0860359524130608,-0.1681118498609035,-0.20740712133469086,-0.2317636961564103,-0.10418128559011877,0.19840239090191458,-0.28873455523728864,-0.11219346303842165,0.023669898529572915,0.2610753562834485,0.27113566492358737,0.06985882473563292
RataInfract,0.24593961334441727,0.3349564295453263,-0.06546574874029965,-0.1641028546396401,0.9999999999999999,0.4765586936760675,-0.25867176087115756,-0.1770125785261771,0.18679022936676176,0.26928370337060226,0.39071980731367106,0.06890541594196249,0.05215143988818611,0.34199290989799164,0.43593421340374916,-0.07427677529527453,0.24052645617568336,-0.24571716921322145,-0.21927720852739324,-0.18915527521046918
EmigrantiDefinitiv,0.1494923369009862,0.3122854890424316,-0.017353222512764648,-0.060119625602866114,0.47655869367606757,1.0,-0.19785168184333138,-0.07094921453064491,0.2836243978827738,0.31077403065501225,0.2412166796820089,0.027072714879200245,0.11686759919414119,0.08165973670761266,0.1489235163648,-0.2671138368488157,0.3551694428510208,-0.19736055718069798,-0.14385965653755944,0.10310779427027009
EmigrantiTemporar,-0.8259956990654878,-0.7039244952106808,0.6341705912756787,0.23596993158903928,-0.2586717608711576,-0.19785168184333138,1.0,0.6088847948463352,-0.3762736113501089,-0.5448170879916483,-0.6275792515950532,-0.8147532080241098,-0.5221179430196405,-0.21314757774369855,-0.30633598570220977,0.5661720186115201,-0.5181062245479459,0.6727545038672992,0.5805968965118253,0.0071773367057515036
AjutorSocial,-0.5114810290812427,-0.5286644964215559,0.9269890276208823,0.2804535506233142,-0.17701257852617713,-0.0709492145306449,0.6088847948463351,1.0,-0.31209577849062364,-0.42173287948746474,-0.641218267718463,-0.5176027018266217,-0.4491277921019308,-0.4001653126846366,-0.3015501953249164,0.43256960254179133,-0.4429309097480376,0.43348557968656254,0.3130996256312037,-0.05733833297366297
NrPaturi,0.31439590335775175,0.5489360426654248,-0.2514410525839124,-0.08603595241306079,0.18679022936676176,0.2836243978827738,-0.3762736113501089,-0.3120957784906237,0.9999999999999999,0.80966923643908,0.6191334644304292,0.0798303467311323,0.21279355126911267,0.3001806966542631,0.270575500164194,-0.39684470230324376,0.6482928123932216,-0.48775815191680505,-0.3785068824285086,0.019173074369614643
NrMedici,0.41932967821839173,0.7736165495771495,-0.40635922032383925,-0.1681118498609035,0.2692837033706023,0.31077403065501225,-0.5448170879916484,-0.42173287948746474,0.8096692364390801,0.9999999999999998,0.7206261715111727,0.3736136593989094,0.4530521876006786,0.2450622764977935,0.33460709824280493,-0.47618229177336124,0.5922366282473873,-0.41529781179359126,-0.5029186121602119,0.02001219689434764
