,s_shapiro,p_shapiro,s_ks,p_ks,s_chi2,p_chi2
SporulNatural,0.9886305928230286,0.946153461933136,0.7569977258982838,1.5630158272421894e-25,-71.00853889943075,1.0
SalNet,0.7629035711288452,7.836679287720472e-07,1.0,0.0,1838.9629533470013,0.0
RataSom,0.9473986625671387,0.05214150622487068,0.855580467795342,1.172002755597542e-35,42.23513846153846,0.41738983393688367
RataAbScolar,0.9057362079620361,0.0021472531370818615,0.7881446014166034,2.702216766983332e-28,11.6,0.9999983373447613
RataInfract,0.9340210556983948,0.01774648018181324,1.0,0.0,4642.189494631481,0.0
EmigrantiDefinitiv,0.927599310874939,0.010760289616882801,1.0,0.0,1047.4929868275153,7.017776087299246e-193
EmigrantiTemporar,0.9188683032989502,0.00555793009698391,1.0,0.0,203.0104099031125,2.52290927108495e-23
AjutorSocial,0.9636760354042053,0.199629008769989,0.9761904761851721,1.3321704715988295e-68,423.20953790482923,5.725688368212545e-65
NrPaturi,0.9494497179985046,0.06172070652246475,1.0,0.0,2106.4465678317597,0.0
NrMedici,0.7715030312538147,1.1535317980815307e-06,1.0,0.0,3688.998434197131,0.0
PIB,0.6903531551361084,4.0269547696425434e-08,1.0,0.0,257675.56457970355,0.0
SupUtila,0.7508233785629272,4.6159945554791193e-07,0.9999999929598322,0.0,818.8389578809375,2.611607424107383e-145
Export,0.8195882439613342,1.1905827705049887e-05,1.0,0.0,106606.7724998806,0.0
Inoptari,0.7427806854248047,3.272686512900691e-07,0.9999999990581746,0.0,6564.323790632694,0.0
ExecBVenituri,0.7843653559684753,2.0903144104522653e-06,1.0,0.0,3783.5362880709395,0.0
ExecBSubventii,0.9372551441192627,0.022933708503842354,1.0,0.0,3499.652226117144,0.0
Canalizare,0.9339105486869812,0.01759256049990654,1.0,0.0,241.56889188420047,3.0617024415165878e-30
PAVeg,0.9682644009590149,0.2884455919265747,1.0,0.0,41581.01002976087,0.0
PAAnim,0.954185962677002,0.09129028767347336,0.9877797596368486,9.086139952630753e-81,7179.593734224061,0.0
ServAgr,0.46247780323028564,3.288375127752374e-11,0.8842011044621704,9.718251098945836e-40,9744.958962889688,0.0
