,SporulNatural,SalNet,RataSom,RataAbScolar,RataInfract,EmigrantiDefinitiv,EmigrantiTemporar,AjutorSocial,NrPaturi,NrMedici,PIB,SupUtila,Export,Inoptari,ExecBVenituri,ExecBSubventii,Canalizare,PAVeg,PAAnim,ServAgr
 Alba,0.16428571428571415,4.547619047619264,-0.46904761904761916,-0.15714285714285703,180.63414634146352,-11.447845845000003,-1.1650609095238451,-0.5527702723095231,14.175484304761767,-55.013663604761916,7462.028067380947,-2.350060108214283,4614.017810638095,-25.738189062119034,92.2202179047622,-18.491309454761904,10.720801913571428,-121.70655125095163,909.709809472286,11.364045092952388
 Arad,-0.13571428571428568,-48.452380952380736,-2.469047619047619,0.34285714285714297,-42.36585365853648,7.282661155000014,-17.88137590952374,-23.023177442309525,-70.35820789523825,-1.894006704761921,7937.234027380946,-2.3242846782142834,5131.161114638096,-44.04052160211904,-115.79463009523761,-186.78398835476185,-10.799661996428569,1716.2889937490486,146.36574547228588,9.798183562952381
 Arges,-0.03571428571428559,248.54761904761926,-0.6690476190476189,-0.8571428571428571,-151.36585365853648,-51.13269601499999,-26.277968909523906,-1.0638542223095229,-38.609785395238305,-8.426658704761934,4211.392037380945,10.479125831785716,7862.865255638095,-69.05818574211904,-89.51241709523765,119.81917854523817,1.6552048135714301,-1297.5470902509514,-150.67151252771419,-51.16448828604762
 Bacau,-0.23571428571428577,-56.452380952380736,2.130952380952381,0.24285714285714288,-175.36585365853648,74.354275155,-3.9260959095238377,20.787536817690473,-60.085875295238225,-69.18534590476193,-9726.250222619055,-11.352205148214281,-1600.4956623619044,-65.76930728211904,-539.2223460952378,-276.11456055476185,-3.6353125464285725,-1740.0991212509516,-110.02221152771426,-55.88575640204762
 Bihor,1.3642857142857143,-274.45238095238074,-2.369047619047619,0.1428571428571428,-257.3658536585365,-56.731179345,-38.482825909523854,-6.802013192309527,100.5646010047617,140.17893839523805,-1867.983242619055,9.55621384178572,771.7347136380954,136.09870923788097,174.3155909047623,-90.24432695476185,-1.8054397864285718,-508.57491925095155,6.657817472285842,-40.36968611704762
 Bistrita-Nasaud,3.664285714285714,-254.45238095238074,-0.769047619047619,-0.7571428571428571,204.63414634146352,5.917846255000015,-18.880573909523946,-15.093550192309525,-100.53174789523825,-89.86070520476193,-5125.566412619053,1.0130170717857183,-529.6252643619046,-60.85646689211903,1057.1175749047625,223.21567024523813,-3.381431466428573,-1546.8272792509515,728.4449484722859,-58.47354590004762
 Botosani,-0.43571428571428594,-158.45238095238074,-0.769047619047619,-0.5571428571428572,52.63414634146352,-1.2571753449999932,24.5005770904761,-6.498133702309524,-49.04826999523823,-90.09130360476192,-14563.501832619055,-8.941980228214284,-2092.7090997619043,-116.97869373211904,-496.59500209523776,-52.53794215476182,-18.603698166428572,1106.8777847490487,729.8935004722857,-37.23931368704762
 Braila,-4.135714285714286,-231.45238095238074,0.13095238095238093,-0.15714285714285703,-1018.3658536585365,12.702391655,31.826834090476268,3.4387532076904748,40.64573660476174,-75.69334470476193,-3846.2213226190506,-12.574197188214281,-2192.3168851619043,-56.34453502211903,-370.32542009523786,17.675313945238145,23.396739083571426,3505.695397749048,199.9164824722859,664.4251138329524
 Brasov,3.2642857142857142,256.54761904761926,-1.669047619047619,1.5428571428571427,244.63414634146352,59.680251055,-99.75769690952393,-8.964819452309527,62.407601204761704,63.129823295238054,15081.68853738095,21.080058771785716,3435.3976116380954,367.23748583788097,-291.1388550952379,-328.8125923547618,34.95175511357143,-2650.2876432509515,-9.468480527714291,-8.335180507047617
 Buzau,-3.435714285714286,-209.45238095238074,3.4309523809523808,0.7428571428571429,143.63414634146352,-38.901916055,62.04472909047627,39.48854759769048,-4.017154395238208,-106.99398990476192,-8442.234932619052,-16.006785948214283,-1202.0142743619044,-89.96120386211904,-203.03074809523787,106.0140591452381,-1.9656235864285705,1495.8050127490483,747.7551354722859,-14.014412527047618
 Calarasi,-1.935714285714286,-120.45238095238074,0.3309523809523811,1.942857142857143,-19.36585365853648,-20.360391644999993,82.23285409047617,2.675533357690476,-199.59282119523823,-151.05217870476193,-10284.491832619053,-16.371333348214282,-1880.2199803619044,-116.19195324211904,-291.9207960952376,13.51820354523818,-21.388535946428572,4059.5609377490487,777.2869184722858,156.3309533329524
 Caras-Severin,-2.635714285714286,-197.45238095238074,-0.5690476190476192,0.6428571428571428,-26.36585365853648,107.394351655,90.59762309047619,-14.309613882309527,30.617504204761758,-50.06958240476192,-2059.562242619053,-22.172343137214284,-1586.4000403619045,152.12558733788094,-167.78749109523778,-19.089891554761834,4.6955980935714265,-1150.5326392509514,323.3616634722857,-51.99366637904762
 Cluj,2.564285714285714,789.5476190476193,-2.569047619047619,-0.9571428571428571,-179.36585365853648,-8.880074245000003,-107.12641090952388,-26.408747362309526,364.6888290047617,294.9892329952381,23474.337797380947,72.55417181178572,-374.25876836190446,37.11437223788096,232.55943190476228,-230.98262835476186,23.074787503571436,-2103.3255332509516,-606.0279852277142,-51.75253890004762
 Constanta,1.1642857142857141,-8.452380952380736,-1.169047619047619,-0.05714285714285716,1203.6341463414635,16.627151455000003,-11.88439290952374,-20.144375482309524,38.08410380476175,70.74910849523809,16817.106597380945,22.615660301785717,-55.27190536190437,632.327687837881,42.45338390476218,-152.00032305476185,18.54335667357143,-193.02487525095148,-623.5967806277142,-39.13754541704762
 Covasna,1.7642857142857142,-280.45238095238074,-0.269047619047619,2.0428571428571427,-535.3658536585365,-67.194021875,16.22794909047616,-1.9482950023095285,267.9408439047618,-43.850013604761926,-5537.303032619053,-15.187680988214282,-1477.3981583619045,159.65911263788095,-480.38768409523755,-124.05711545476186,7.189537493571429,338.2633107490483,266.6776094722859,-46.699469047047614
