,SporulNatural,SalNet,RataSom,RataAbScolar,RataInfract,EmigrantiDefinitiv,EmigrantiTemporar,AjutorSocial,NrPaturi,NrMedici,PIB,SupUtila,Export,Inoptari,ExecBVenituri,ExecBSubventii,Canalizare,PAVeg,PAAnim,ServAgr
 Alba,0.06512202062575037,0.013326807442351898,-0.2377949253587281,-0.2255728153786419,0.42396315018890324,-0.20370517950097392,-0.01523634710053489,-0.02795578720712734,0.07983792528965095,-0.3624568225415571,0.4931968803160686,-0.09623808941572996,1.695068352572927,-0.17404694199840265,0.1832186926400359,-0.0849340949904578,0.6336924594826796,-0.06336173069204025,1.8443344489817688,0.09728016159193706
 Arad,-0.05379645182127207,-0.14198980704285183,-1.2517428304416294,0.4921588699170374,-0.09943613176858258,0.12958907884595536,-0.23384773084867658,-1.1643734868736553,-0.39626535677280794,-0.012478639070694224,0.5246052447530926,-0.09518255124953653,1.8850531520104854,-0.29781108882072765,-0.2300552007228604,-0.8579343203590434,-0.6383537749573633,0.8935183841288056,0.2967401073558041,0.08387584460594878
 Arges,-0.014156961005597869,0.7283693345063087,-0.33918971586701807,-1.230397174792593,-0.3552680677926452,-0.909865066418031,-0.34365607165225726,-0.05380333159746259,-0.21745466296336863,-0.05551893363643914,0.27834864675780085,0.42913415077046324,2.8886091476821076,-0.46698569271384277,-0.17783896425159215,0.5503522353101478,0.09783697317752531,-0.6755168760241933,-0.30546956638430883,-0.4379857390149074
 Bacau,-0.09343594263694628,-0.1654338243236373,1.0803373512490435,0.3486125328579014,-0.4115980353575764,1.323074329632893,-0.051344405720335516,1.0513082648378669,-0.3384104217993512,-0.4558267710225343,-0.6428488640961172,-0.46488791086697534,-0.5879798598620324,-0.4447456183564013,-1.0713010176997282,-1.2682465983158044,-0.21487852934008198,-0.9059141908541803,-0.22305767483306918,-0.4784014291575111
 Bihor,0.5407959104138405,-0.8042832952250413,-1.2010454351874842,0.20506619579876542,-0.6040587578710913,-1.0094855598376697,-0.5032678447743957,-0.34400481160065105,0.5663911672566063,0.9235671516628228,-0.12346288427534256,0.39133967636276007,0.2835149631745692,0.9203275372487582,0.3463218304832983,-0.4145093270261518,-0.10671716425069856,-0.2647695357323909,0.0134979770376364,-0.3455784939922206
 Bistrita-Nasaud,1.4525041991743464,-0.7456732520230777,-0.3898871111211632,-1.0868508377334571,0.48029311775383443,0.10530329897484254,-0.24691496830013773,-0.763340755669345,-0.5662061348409743,-0.5920461126504998,-0.33877028359179007,0.04148439743877628,-0.1945703422022075,-0.41152397854553324,2.100230344726328,1.02527195201341,-0.1998719535915218,-0.8052948053133974,1.4768403051886796,-0.5005538034636883
 Botosani,-0.17271492426829468,-0.464345044653652,-0.3898871111211632,-0.7997581636151856,0.12353665650927012,-0.02237042084465825,0.320411828825733,-0.3286364193686361,-0.27624538472742277,-0.5935654072742436,-0.9625632074104581,-0.3661859923278644,-0.7688060843564912,-0.7910340495947388,-0.9866110612471989,-0.24131674289981617,-1.0996400587939092,0.5762523987855003,1.4797770816496159,-0.31878142188079434
 Braila,-1.639376084448239,-0.6782717023408193,0.06638944616614233,-0.2255728153786419,-2.390188146075785,0.22602880989208912,0.4162226089207812,0.1739114018023601,0.22892136964263915,-0.4987046382938223,-0.2542129753723449,-0.5149301114046422,-0.8053993554774074,-0.381013364819628,-0.7357447299820119,0.08118607269451217,1.3829503849869944,1.8251024730993128,0.405308211150085,5.6877090781253195
 Brasov,1.2939462359116496,0.7518133517870942,-0.8461636684084687,2.214714914626667,0.5741763970287198,1.061961911299825,-1.3046038053792886,-0.4533865106601597,0.35148664379801103,0.41593003737386675,0.996812350391708,0.8632564647503796,1.262074402176404,2.483335608538832,-0.5784206719436931,-1.5102986633499946,2.0659521404940318,-1.3797680583508916,-0.019196280654494306,-0.07135203178016405
 Buzau,-1.3618996487385198,-0.6138006548186594,1.7394034895529293,1.0663442181535807,0.3371211168596343,-0.692228206093178,0.8114039536074596,1.997092624296207,-0.022625066317930716,-0.7049285408537422,-0.557982882678226,-0.6554991899816691,-0.4415883161773058,-0.6083362117244322,-0.40337172343437944,0.4869427009371091,-0.11618541737295643,0.778732068335294,1.5159895401749874,-0.1199682247030812
 Calarasi,-0.7673072865034073,-0.35298596256992104,0.16778423667443254,2.788900262863211,-0.045453246185523516,-0.3622967404445209,1.075418716522041,0.13531234395196196,-1.1241292646053191,-0.9952053570663921,-0.679745404557838,-0.6704278912326895,-0.6907431907260008,-0.7857139481649006,-0.5799741947068853,0.06209167537975135,-1.2642481465372821,2.113450789803481,1.5758619128367153,1.3382471010681423
 Caras-Severin,-1.0447837222131264,-0.5786346288974812,-0.2884923206128732,0.9227978810944447,-0.06188282005862845,1.9109958307857073,1.184810871780157,-0.7236939841909596,0.17244123450753762,-0.3298828064750406,-0.13612514770840334,-0.9079869633704317,-0.5828015004055642,1.0287045919185287,-0.33335211581877694,-0.08768349621947079,0.2775506094269591,-0.5989795823752015,0.655579448756241,-0.4450837906519568
 Cluj,1.0164698002019303,2.313771003119426,-1.3024402256957741,-1.373943511851729,-0.4209863632850649,-0.15801375582374472,-1.4009698264780954,-1.3355951986761563,2.0539685881682317,1.9435328074782159,1.5515179070101468,2.9711899069733043,-0.13749279260702563,0.25097503855470427,0.4620378919371398,-1.0609470652050998,1.3639202517740803,-1.0950137410495122,-1.22865366357967,-0.4430196559244447
 Constanta,0.46151692878249206,-0.024769720638924488,-0.5926766921377434,-0.08202647831950624,2.825028017644096,0.2958667436293255,-0.1554208316221371,-1.018781042712409,0.21449396499747878,0.46612960094903066,1.1115134431117426,0.9261413913250307,-0.020305439079441517,4.27593021962373,0.08434434090373587,-0.6981663417886728,1.0960733527465665,-0.10049081201304537,-1.264272422711364,-0.33503094288523516
 Covasna,0.6993538736765371,-0.8218663081856304,-0.13640013485043787,2.9324465999223466,-1.2565475488315445,-1.1956634001511783,0.21222466829940767,-0.09853301313348595,1.5090730318489747,-0.28890525658811633,-0.36598369188538227,-0.6219557516220234,-0.5427570861592446,1.0796478435112518,-0.9544111415047839,-0.5698178841284556,0.4249640776476664,0.17610349301974434,0.5406588967169179,-0.3997636280035385
 Dambovita,-0.2123544150839687,-0.4291790187324738,0.16778423667443254,-0.9433045006743213,-0.9702035470431442,-0.5001138531994587,0.1902442806819998,0.1136369609227588,-0.8266671300474061,-0.9401919304181942,-0.4398257228446905,0.32099577811992863,-0.5786909769872282,-0.5459933723337941,-0.5739030007841311,0.3540930191879563,-1.31207710250656,0.27418171899101734,-0.7642687681441656,-0.48462939793229953
 Dolj,-0.6880283048720588,0.3122380277723666,1.7901008848070747,1.0663442181535807,-1.1251109578467051,-0.7720009864242419,0.44536849174079474,1.5600182592542364,0.7725309158171662,1.7540408242732672,-0.2621506426261816,-0.25525158114441715,0.43654124108609815,-0.7198174303781432,-0.8621263590485623,-0.7120403716805371,-0.15102931684537968,0.37180699544728013,-1.0149693373244382,-0.06339538171307137
 Galati,-0.2123544150839687,-0.16836432648373548,1.2324295370114786,-0.3691191524377779,0.5577468231556149,1.791531323156413,0.04437068465512454,0.9974178950489765,-0.19988497647929682,-0.3327827410078525,-0.5340830826901183,-0.4170944183520778,-0.25460989217817287,-0.6834670559718143,-0.5994474745271481,-0.6280498499623456,0.9456106846062144,0.4003019875619748,-1.1702303662534872,-0.2616481890874815
 Giurgiu,-1.5997365936325647,0.03677082472313736,-0.7954662731543238,-0.3691191524377779,0.5530526591918706,-1.1377905637118169,0.7548699912459861,-0.25678855481162083,-1.8237385531806771,-0.9243769861804016,-0.5425855124450926,-0.33443615101171575,-0.9705848336020718,-0.8272280950473372,0.265679386314736,2.3603167346100418,-1.3470015765684622,0.9549111499918771,-0.2750661837708129,-0.22503328043542772
 Gorj,-0.2123544150839687,-0.007186707678335387,0.26917902718272274,-1.373943511851729,-0.20740190293470073,-1.0965228049090014,0.4876910987325598,-0.19030737642144027,0.6111574299366894,-0.03369903258346848,0.41681612300735077,-0.8086183481939226,-0.992417341719544,-0.504690787834951,-0.22357514716746757,0.2106882358401764,-1.0032462502798922,-0.41835683500744225,-0.21143031258714412,-0.4990284986994877
 Harghita,0.7389933644922113,-0.9097813729885759,0.16778423667443254,0.20506619579876542,-1.0570455803724133,-1.634597309271908,0.24253814355545888,-0.02161285905254774,0.03508974901310642,-0.43645449958024374,-0.37218528092520564,-0.7261924952186225,-0.7092629554575159,0.24285027416186755,-0.5123188516471009,-0.4651577940208031,0.23579190396985664,-0.9029717294730126,0.11044522244563068,-0.49718197590231106
 Hunedoara,-0.965504740581778,-0.6841327066610158,-0.2377949253587281,-0.9433045006743213,1.1445173186236484,0.4070514334896279,-0.16775710266842844,-0.9310384980186441,1.220057043297621,0.3127328363393745,-0.11916601680232818,-0.8505305089123757,-0.2775367857261372,-0.2671662258939538,0.09943411889338187,0.05104951973733888,1.8882349383632093,-0.9548106307426267,-0.33966083293861365,-0.4859922240960957
 Ialomita,-0.6880283048720588,-0.6606886893802303,0.8775477702324631,0.06151985873962976,0.5366230853187657,-0.8728286542741815,1.1666699475212616,0.3133943510711969,-1.6445841056249724,-0.8529190016616173,-0.4771469496959492,-0.5743353255747293,-0.8300021621836814,-0.458453380701564,-1.314479684031941,-0.5431701059796532,-0.8384783119752818,2.2880465855674346,0.7780890865867717,0.8546020061087953
 Iasi,1.6507016532527174,1.3642883032476145,-0.44058450637530827,-0.5126654894969139,1.2759539096084878,2.0677448475196303,-1.4489358644789587,-0.33338469562703493,1.8090021686331685,1.7335867983293838,-0.08862189568159805,0.4767741388590739,-0.6186592207252165,-0.4526671135353448,-1.1182349676375465,-0.6416312532403855,-0.4750312271380823,-0.8032784072551982,-1.403976655882319,-0.17517292480947996
 Ilfov,2.0074570705937846,1.4756473853313454,-1.6573219924747897,-0.2255728153786419,0.0,-1.085468625274976,-3.5426271226022843,-1.5309481188652379,-1.8125236971757794,-0.541985505542729,0.8277553172149229,4.087595252720962,1.0555660061293064,-0.5645851655035449,0.6235630957966805,-1.4882850311520186,-0.04941071469907457,-1.3520665471985256,-2.4447722754204135,0.4130086322868675
 Maramures,0.6200748920451887,-0.6518971828999357,-0.33918971586701807,-0.3691191524377779,-0.8997910875869802,-0.5190907885870284,0.006879224968337921,-0.358609373530692,-0.061769683571850906,-0.40082505211622177,-0.378917675241815,-0.19986261061353333,0.046658849479045444,-0.1831332271976102,-0.46660773557987995,-0.6323710527019816,-0.5061850709634471,-0.949418130717847,0.04226703784960706,-0.502748758174094
 Mehedinti,-0.965504740581778,-0.5376075986561066,1.9421930705695098,0.20506619579876542,0.2197670177660276,-0.6751876091746941,0.9678187589613018,1.5996931534001588,-0.15159668788741346,-0.3619018156209536,-0.5524967317802475,-0.7217858219989582,-0.8659408093609803,-0.29204142253265203,1.508581986142398,2.939090206941937,0.17511902943875676,0.5823718665518329,-0.04590237719989163,-0.32750622221241144
 Municipiul Bucuresti,1.0561092910176046,4.127751840220202,-1.3024402256957741,-0.9433045006743213,2.5926669014387547,1.722450174672137,-2.1239480036372353,-1.944816525342145,3.2951063313649285,3.3493558189793267,5.063870892850678,0.14080567291757398,1.3592772778499715,0.3644761292863212,4.634686973782762,-1.3111935348121981,2.8066598918635246,-1.923959660701761,-2.88088190836137,1.499493638219854
 Mures,0.2633194747041212,0.23311446944971567,-0.44058450637530827,0.7792515440353087,0.12823082047301437,-0.7444412554565539,0.030868455888519226,0.30130345200333275,0.7137117158384167,1.4883295676283979,-0.23818954355925506,-0.5377971769853322,-0.37396260524297037,0.5275150356341,-0.5683179054474227,-0.9517265493844724,0.19993900571918508,-0.410925966112447,-0.2018120104244816,-0.4305829077094376
 Neamt,-0.41055186916233954,-0.7749782736240595,0.37057381769101255,-0.2255728153786419,0.057818361016850374,0.8679376811477476,0.8172634940351938,0.35813685412011204,-0.5457339368201806,-0.41668602154956247,-0.6606567663239196,-0.29050712544639024,-0.7389486973919713,-0.19644288277466962,-0.02369056421633808,0.3187315478753783,-0.7700890255367272,-0.5735177467080342,-0.12056419824216427,-0.09303774669934499
 Olt,-1.4411786303698682,0.07486735280441376,1.2324295370114786,-0.2255728153786419,-1.3246129263058364,-0.9417745259642826,1.2403162448529872,0.689017201987716,-0.6903932057007055,-0.5098251199780475,-0.6224562365896962,-0.74033698216617,0.4416688574308707,-0.8067167308995622,0.651548026030672,2.186526786851685,-1.139853333505404,1.1492227070914744,0.013671805256271752,-0.03452382360919903
 Prahova,-0.7673072865034073,0.44997162929698126,-0.6433740873918885,-0.9433045006743213,-0.5336462984149273,-0.5938346626803377,0.17426179583115986,-0.9385562615208988,-0.1241328848397638,-0.6262976774873779,0.36746458990688047,-0.2578410210313446,0.20478344091456138,0.28507553329726765,-0.5269641495293893,-0.3258998968051587,-0.18095355233597082,-1.1561687747299891,-1.1996533179770814,-0.43930942175390514
 Salaj,0.5407959104138405,-0.32954194528913555,0.31987642243686765,0.20506619579876542,-0.6040587578710913,-0.9623538115356778,-0.03159493426729918,0.7639592821700479,-0.06038669576804182,-0.30657751778923176,-0.0873184708536841,-0.19098236157519874,0.03581670623016044,-0.6184459942966654,0.1799831638686292,0.7630490558712588,-0.15336863332894843,0.344729768867925,0.3772648618633462,-0.4032149236310204
 Satu Mare,0.34259845633546965,-0.43797052521276836,-0.6433740873918885,0.20506619579876542,-0.8176432182214555,0.42160320964644776,0.1636081049846945,-0.0852753346456389,-0.45223049152192424,-0.49151796117734464,-0.3053875792304164,-0.21451940649293294,0.01492902824708333,-0.642468475176542,0.2571052227526446,0.600146067678543,-0.04298473573231824,0.653206728662802,0.41432280997736204,-0.3967891904911758
 Sibiu,1.0957487818332787,0.9276434813929851,-1.0489532494250489,0.7792515440353087,-0.3552680677926452,0.9756728848230715,-1.2843847520263967,-0.6304440646374616,0.3639626633192186,0.6433733379261338,0.7449325782785842,1.1218123802022488,1.7510373637062553,0.68737983541712,0.019021494236975734,-0.8966094694895357,1.8028332449593911,-1.173312165365106,-0.4853202151001685,-0.1763048015354344
 Suceava,1.3732252175429982,-0.6284531656191503,0.6240607939617379,-1.230397174792593,0.041388787143745435,-0.2817387698121155,-0.6105736842821723,0.24643636988877538,-0.7867066511419826,-0.7244370154345939,-0.7893487179644656,0.5144266423733598,-0.7553418774374311,0.15377557196920885,-0.27306700440801135,-0.13157434838856227,-1.0281518868607051,-0.3726527121437178,0.7349484422664622,-0.33715623692998753
 Teleorman,-2.4718053915773965,-0.8775458492274959,1.9928904658236546,0.06151985873962976,-0.7354953488559308,-0.025789644445438128,1.9477192036977635,2.358625324902028,-0.29021900498282804,-0.6826857847579046,-0.8190438615495202,-1.0202218297312524,-0.897702499150979,-0.9055495373318876,-0.6480168153134785,0.36185954607857396,-1.3769298273117476,1.3955422087904634,0.23265919214085537,-0.17954128631486227
 Timis,1.1750277634646273,1.9064312028657784,-1.5559272019664996,-1.373943511851729,-0.021982426366802175,1.3457161217980451,-1.2578954391896862,-1.618504524342647,0.9373357331353009,2.6618890042472416,1.1821232151851584,1.8188323979267722,2.7190238675299425,-0.0691123216170429,-0.0005196689220210333,-0.849852324002815,0.8918887261440531,0.40186050279833874,0.6012851737567858,0.10181116924938224
 Tulcea,-1.0447837222131264,-0.19473884592461913,-0.08570273959629277,0.20506619579876542,0.6281592826117789,0.6275637596155574,1.2334788436349406,-0.25863553541666995,-1.119318471629618,-0.5966234358534325,-0.14342905737199999,-0.7784593936041666,-0.025011190762888297,0.39707891707232074,0.9238036725637574,0.449620262295034,-0.2611210532361478,1.8301082452878765,1.283017510910174,0.6848691148465205
 Valcea,0.5804354012295146,-0.719298732582194,-0.3898871111211632,-0.3691191524377779,0.3042619691134244,-0.8676463370021258,-0.05728769590401575,-0.5235637602064701,0.31995394739566413,-0.23037883468973908,-0.27873900680253944,-0.42688493275736783,-0.7320444292340448,2.0026924964964854,0.738716397855874,1.4110539229087897,-0.4017504904732706,-0.5026669034109493,0.4032873881635742,-0.41458608731513064
 Vaslui,0.3029589655197954,-0.5200245856955175,2.3984696278568154,-0.08202647831950624,2.303975817668482,2.09717890383758,0.1530387000809326,2.406855606165424,-0.5247272282117713,-0.7608506259716336,-1.0821933891642124,-0.6841081088452946,-0.8961563756336935,-0.81335200164388,0.6536503651637174,1.162918171481388,-0.9926674662160013,-0.0658917127502003,0.3929517597510733,-0.2453418160838187
 Vrancea,-0.45019135997801396,-0.7925612865846485,0.11708684142028722,0.7792515440353087,-0.8106019722758391,-0.1124618119290996,0.6927683179077263,0.8684704783060333,-1.198571926649061,-0.6319319403134352,-0.7033197070653141,0.3192718003867376,-0.7903060363725367,-0.7872225173209271,0.030423145479615485,0.9964284022104117,-0.6187930544434587,0.4396571819392935,0.41036014697310197,-0.19265248950974845
