Country,CountryCode,Continent,C,C_Test,Html,Html_test,Java,Java_test,PHP,PHP_test,InternetPenetration,InternetUsers,UploadSpeed,Download,FixedBroadbandSubscriptions,ChargesIntellProperty,GovernmentExpenditureOnEducation,GrossEnrolmentRatio,HighTechnologyExports,GINIindex,IncomeShareLow20,SurveyMeanIncome,Unemployment,UnemploymentTertiaryEducation,GDP_BM
Aruba,ABW,NA,1.918226025,0,4.795565061,0.959113012,2.877339037,0,3.836452049,0,78.9,88.66122693,NA,NA,18.56310004,104.8605218,6.036870003,16.90159988,5.449211108,NA,NA,NA,NA,4.400000095,25751
Angola,AGO,AF,0.023227942,0.003871324,0.011613971,0,0.023227942,0,0.019356619,0,19.1,12.4,3.7,5.37,0.412783677,0.042419385,3.438970089,9.923569679,NA,42.72,5.43,NA,6.800000191,NA,4102
Albania,ALB,EU,7.783173193,0.241071736,13.80996659,0.551021111,6.956641526,0.241071736,12.397975,0.860970486,60.1,63.2529327,4.63,7.88,6.527599404,7.546067569,3.538000107,62.70684814,1.487346477,28.96,8.85,7.41,16.10000038,15.30000019,3964
Andorra,AND,EU,7.229089858,0,7.229089858,1.445817972,10.1207258,0,8.674907829,1.445817972,94,96.91,NA,NA,35.89385301,NA,3.064419985,NA,17.59488547,NA,NA,NA,NA,NA,45033
United Arab Emirates,ARE,AS,7.17602332,0.291357338,7.996140271,0.291357338,4.478270192,0.140283163,7.629245845,0.151074175,88,91.24340578,10.68,29.44,11.55839995,NA,1.109439969,22.03907013,8.463408851,NA,NA,NA,3.599999905,33.20000076,40425
Argentina,ARG,SA,2.344501347,0.072980587,2.269240117,0.066138657,2.385552927,0.18473211,2.930626684,0.152803103,59.9,69.40092102,1.82,6.39,15.57170188,46.33697756,5.344099998,79.98670197,6.675735462,42.67,4.79,19.28,8.199999809,9.300000191,12622
Armenia,ARM,EU,31.75759274,2.875037012,51.81675902,6.24577006,20.2904911,1.850598536,56.905905,9.781735121,46.3,58.24933222,9.95,13.99,9.144970325,NA,2.240499973,44.25460815,5.274277394,31.48,8.45,6.25,17.10000038,52.59999847,3497
American Samoa,ASM,NA,14.38797166,0,8.992482285,1.798496457,16.18646811,0,12.5894752,1.798496457,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4294
Antigua and Barbuda,ATG,NA,3.234919882,0,4.313226509,0,4.313226509,0,4.313226509,0,63.4,65.2,NA,NA,11.83019262,12.87061844,2.554470062,23.48624039,0,NA,NA,NA,NA,NA,14411
Australia,AUS,OC,7.137177372,0.230364226,7.622587706,0.246818814,5.28192262,0.230364226,7.667837822,0.341432693,83,84.56051935,3.89,15.73,27.65955673,168.0134958,5.270659924,86.55455017,13.51306446,34.94,7.09,NA,6,19,56330
Austria,AUT,EU,2.555535342,0.093352889,1.983748896,0.105022,2.357160452,0.186705778,2.83559401,0.128360223,80.6,83.9263,6.74,25.66,27.6669166,185.5667099,5.56483984,79.99864197,13.88056139,30.48,7.78,53.73,5,22.10000038,43444
Azerbaijan,AZE,EU,0.972797442,0.040533227,1.195730189,0.020266613,0.922130909,0.101333067,1.519996003,0,58.7,77,3.17,4.92,19.94842398,2.919799087,2.462179899,23.15973091,7.002469096,31.79,8.42,NA,5.199999809,16.79999924,5497
Burundi,BDI,AF,0.008656089,0,0,0,0.008656089,0,0.008656089,0,1.3,4.866224464,NA,NA,0.016217116,0.001488312,5.414750099,4.408170223,1.283471453,33.36,8.92,NA,6.900000095,NA,276
Belgium,BEL,EU,3.622956459,0.070348669,3.060167106,0.123110171,3.236038779,0.211046007,4.106603559,0.272601093,82.2,85.0529,4.62,33.86,35.99290946,306.9753714,6.378739834,73.31880188,12.81095178,27.59,8.62,47.92,8.5,22.70000076,40216
Benin,BEN,AF,0.134328462,0,0.125373232,0.008955231,0.134328462,0.008955231,0.250746463,0.008955231,4.9,6.787702956,0.95,1.42,0.42850094,0.206999242,4.380730152,15.36277962,4.123387049,43.44,6.06,NA,1,NA,779
Burkina Faso,BFA,AF,0.010733227,0,0.01609984,0,0.01609984,0,0.026833067,0,4.4,11.38764617,0.29,0.84,0.030890465,0.013852172,4.500150204,4.775909901,10.64978246,35.3,8.31,NA,3.099999905,6.099999905,613
Bangladesh,BGD,AS,3.088191835,0.096371719,11.24786865,0.883918951,2.894220732,0.051561939,9.366471717,0.238167051,6.5,14.4,7.62,6.42,1.951372689,0.187133026,1.966169953,13.44079971,0.174566158,32.13,8.85,NA,4.300000191,15.89999962,1212
Bulgaria,BGR,EU,12.08825951,0.676266266,14.9905689,1.000310519,8.664661537,0.676266266,15.87816838,1.648399024,53.1,56.6563,22.45,33.66,20.65972954,32.06328902,3.523360014,70.78562927,7.648513048,36.01,6.16,15.73,11.60000038,13.19999981,6818
Bahrain,BHR,AS,2.505675355,0.143181449,2.362493906,0,1.78976811,0.143181449,2.577266079,0,90,93.47830114,NA,NA,21.3949592,NA,2.64470005,36.83768082,1.492744222,NA,NA,NA,3.900000095,20.20000076,23396
"Bahamas, The",BHS,NA,1.273178209,0,2.291720777,0,1.018542567,0,1.527813851,0,72,78,4.51,13.25,20.17089638,50.29331275,2.849989891,NA,0,NA,NA,NA,15.39999962,13.10000038,22897
Bosnia and Herzegovina,BIH,EU,12.04586687,0.447117329,19.59425943,0.683826504,10.83601998,0.368214271,19.12084109,0.604923446,67.9,65.0655028,2.02,8.9,14.1814646,1.816962996,NA,47.57777023,2.818924468,33.83,7.28,NA,27.89999962,9.100000381,4198
